dataset,method,lambda,reference_policy_type,bjepa_prior_type,bjepa_loss_type,shift,metric,pairs,mean,std,stderr,baseline_mean,relative_change_percent,paired_t,paired_t_p,wilcoxon_w,wilcoxon_p
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,blur,uncertainty,30,0.0481849263496878,0.0145561725564592,0.0026575813533701,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,latent_mse,30,0.0473081500168453,0.0039920718525743,0.0007288492682788,0.0632110911000618,-25.15846634895522,-66.45286337630225,3.0128788572629718e-33,0.0,1.718092931245674e-06
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,decision_kl,30,206.2010729765989,210.0923878896026,38.35744666908684,386.5413928333798,-46.65485332240144,-2.9715842719691232,0.0059025058064086,63.0,0.0002316366881132
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,action_mse,30,0.0708892319925063,0.0280382949162176,0.0051190688665316,0.0849182889444727,-16.52065429761527,-5.475570377669366,6.770136508576871e-06,29.0,3.2391399145126343e-06
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,nll,30,30.201254289589293,7.271559760093073,1.3275991029499432,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,brightness,uncertainty,30,0.0242781907838747,0.0058671205935817,0.0010711847655692,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,latent_mse,30,0.0020508103276989,0.0008139342356611,0.0001486033803991,0.0051731863312976,-60.35692131768791,-9.69484924039129,1.3268404283740272e-10,0.0,1.718092931245674e-06
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,decision_kl,30,0.3605714642720488,0.1131414791915296,0.0206567134475673,0.913281673561569,-60.51913941665875,-6.040965422790181,1.4235563155026122e-06,0.0,1.862645149230957e-09
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,action_mse,30,0.0009321573362063,0.0008175747429971,0.000149268043062,0.0031221558634152,-70.14379239905318,-7.162470899323185,6.96634472711856e-08,0.0,1.862645149230957e-09
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,nll,30,-0.5652180938479264,0.1856579429624961,0.0338963477801888,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,clean,uncertainty,30,0.0333634893128619,0.0124511416669496,0.0022732570525602,,,,,,
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,latent_mse,30,0.1914880964939025,0.0235356593750214,0.0042970038484857,0.2531476701503568,-24.35715628740791,-28.672525392324403,7.834004140557666e-23,0.0,1.718092931245674e-06
metaworld-5,de_bjepa,0.01,strong_bc,empirical_task_gaussian,nll,desaturation,decision_kl,30,3766.46396995702,6560.417475449832,1197.7628793183223,4263.651750858989,-11.661078576640342,-3.2357810933244977,0.0030280518338771,34.0,6.917864084243774e-06
